regine_area;main_no;point_no;param_key;version_no_end;station_name;station_status_name;dt_start_date;dt_end_date;percent_missing_days;first_year_regulation;start_year;end_year;aktuell_avrenningskart;excluded_years;tilgang;latitude;longitude;utm_east_z33;utm_north_z33;regulation_part_area;regulation_part_reservoirs;transfer_area_in;transfer_area_out;drainage_basin_key;area_norway;area_total;comment;drainage_dens;dt_registration_date;dt_regul_date;gradient_1085;gradient_basin;gradient_river;height_minimum;height_hypso_10;height_hypso_20;height_hypso_30;height_hypso_40;height_hypso_50;height_hypso_60;height_hypso_70;height_hypso_80;height_hypso_90;height_maximum;length_km_basin;length_km_river;ocean_polar_angle;ocean_polar_distance;perc_agricul;perc_bog;perc_eff_bog;perc_eff_lake;perc_forest;perc_glacier;perc_lake;perc_mountain;perc_urban;prec_intens_max;utm_zone_gravi;utm_east_gravi;utm_north_gravi;utm_zone_inlet;utm_east_inlet;utm_north_inlet;br1_middelavrenning_1930_1960;br2_Tilsigsberegning;br3_Regional_flomfrekvensanalyse;br5_Regional_lavvannsanalyse;br6_Klimastudier;br7_Klimascenarier;br9_Flomvarsling;br11_FRIEND;br12_GRDC;br23_HBV;br24_middelavrenning_1961_1990;br26_TotalAvlop;br31_FlomserierPrim;br32_FlomserierSekundar;br33_Flomkart_aktive_ureg;br34_Hydrologisk_referanseserier_klimastudier;br38_Flomkart_aktive_ureg_periode;br39_Flomkart_nedlagt_stasjon
1;48;0;1001;1;Ørje;Aktiv;1963-09-01 12:00:00.0000000;2018-08-05 12:00:00.0000000;0,214325;NULL;NULL;NULL;nei;NULL;open;59,4826736450195;11,6505556106567;310319;6598578;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Plan B List;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL
1;49;0;1001;1;Brekke;Aktiv;1963-09-01 12:00:00.0000000;2018-08-05 12:00:00.0000000;0,677865;NULL;NULL;NULL;nei;NULL;open;59,147632598877;11,5563840866089;303060;6561574;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL
1;50;0;1001;2;Tistedalsfoss;Aktiv;1963-09-01 12:00:00.0000000;2018-08-05 12:00:00.0000000;0,229278;NULL;1964;NULL;ja;NULL;open;59,1273536682129;11,4430122375488;296460;6559658;0,999637544155121;0,195431366562843;0;0;17;1552,97241210938;1571,91003417969;NULL;NULL;2011-03-04 00:00:00.0000000;NULL;0,28999999165535;NULL;1,85000002384186;79;122;138;153;168;182;199;218;244;281;406;104,860000610352;144,649993896484;NULL;NULL;10,8299999237061;3,9300000667572;NULL;3,08999991416931;74,8000030517578;0;9,01000022888184;0;0,479999989271164;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;Y;NULL;Y;NULL;NULL;NULL;NULL
1;56;0;1001;1;Verket;Nedlagt;1992-08-05 12:00:00.0000000;1999-12-31 12:00:00.0000000;54,4917;NULL;NULL;NULL;nei;NULL;open;59,712776184082;11,5549268722534;306236;6624457;NULL;NULL;NULL;NULL;20;255,300003051758;255,300003051758;point observations only;NULL;2011-03-04 00:00:00.0000000;NULL;3,11999988555908;NULL;3,99000000953674;155;170;184;200;218;236;256;274;285;303;390;28,5699996948242;44,0699996948242;NULL;NULL;1,55999994277954;7,80000019073486;NULL;5,65000009536743;78,4400024414063;0;10,539999961853;0;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2;1;0;1001;1;Hådammen;Aktiv;1990-01-01 12:00:00.0000000;2018-08-11 12:00:00.0000000;0,344498;NULL;NULL;NULL;ja;NULL;open;61,0547714233398;12,0207347869873;339180;6772548;0;0;0;0;22;37,8499984741211;37,8499984741211;NULL;NULL;2016-08-30 00:00:00.0000000;NULL;15,4300003051758;7,40999984741211;13,3400001525879;449;473;492;517;546;566;596;627;654;679;744;10,4799995422363;16,4099998474121;200,229995727539;NULL;0,850000023841858;26,9699993133545;NULL;0,810000002384186;70,0500030517578;0;1,20000004768372;0;0;NULL;33;335832;6774842;33;331246;6778242;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;Y;NULL;NULL;NULL
2;2;0;1001;2;Nor;Nedlagt;1936-11-01 12:00:00.0000000;1997-12-31 12:00:00.0000000;0;NULL;NULL;NULL;ja;NULL;open;60,3410415649414;12,0453052520752;336930;6693048;NULL;NULL;NULL;NULL;23;18512,6796875;18933,140625;NULL;NULL;2016-08-30 00:00:00.0000000;NULL;2,85999989509583;NULL;5,48000001907349;147;305;429;550;672;749;822;898;985;1117;2170;285,390014648438;53,9900016784668;NULL;NULL;2,97000002861023;10,2200002670288;NULL;0,0700000002980232;55,6199989318848;0;2,74000000953674;21,9500007629395;0,150000005960464;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2;10;0;1001;1;Sogna;Nedlagt;1995-02-06 12:00:00.0000000;2013-05-22 12:00:00.0000000;21,9129;NULL;NULL;NULL;nei;NULL;open;60,1696243286133;11,0636253356934;281650;6676813;NULL;NULL;NULL;NULL;28;25,0699996948242;25,0699996948242;not useful data;NULL;2016-08-30 00:00:00.0000000;NULL;7,98999977111816;11,1400003433228;6,84999990463257;130;164;180;193;200;201;202;204;206;208;225;6,76999998092651;7,11999988555908;194,009994506836;NULL;19,9400005340576;0;NULL;0;27,9200000762939;0;0;0;39,8899993896484;NULL;33;282473;6680134;33;281708;6682361;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL
2;11;0;1001;0;Narsjø;Aktiv;1930-02-22 12:00:00.0000000;2018-08-11 12:00:00.0000000;0;NULL;NULL;NULL;ja;NULL;open;62,3613166809082;11,4787826538086;317821;6919394;0;0;0;0;29;118,959999084473;118,959999084473;CCR;NULL;2016-08-30 00:00:00.0000000;NULL;14,3299999237061;12,289999961853;15,4300003051758;737;778;826;882;916;940;968;1006;1053;1106;1593;18,3199996948242;21,7800006866455;307,730010986328;NULL;0;10,9300003051758;NULL;1,64999997615814;22,7000007629395;0;2,51999998092651;47,9199981689453;0;NULL;33;320761;6912838;33;325149;6903553;Y;NULL;Y;Y;Y;NULL;Y;Y;NULL;Y;Y;NULL;Y;NULL;Y;Y;NULL;NULL
2;12;0;1001;0;Nedre Sjodalsvatn;Nedlagt;1930-09-25 12:00:00.0000000;2018-07-31 12:00:00.0000000;15,6418;NULL;NULL;NULL;nei;NULL;open;61,5483741760254;8,93450736999512;177943;6838879;NULL;NULL;NULL;NULL;133;466,049987792969;466,049987792969;replaced by 2.13;NULL;2016-08-30 00:00:00.0000000;NULL;11,4700002670288;4,55000019073486;11,3599996566772;953;1033;1191;1341;1401;1472;1551;1653;1758;1895;2363;36,75;48,2400016784668;322,220001220703;NULL;0;1;NULL;3,89000010490417;4,48000001907349;9,27000045776367;8,97999954223633;72,3199996948242;0;NULL;33;159693;6832482;33;142138;6840586;Y;NULL;Y;Y;Y;NULL;Y;Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2;13;0;1001;0;Nedre Sjodalsvatn;Aktiv;1930-09-25 12:00:00.0000000;2018-08-11 12:00:00.0000000;15,6365;NULL;NULL;NULL;ja;NULL;open;61,5602722167969;8,92706680297852;177672;6840237;0;0;0;0;30;480,700012207031;480,700012207031;CCR;NULL;2016-08-30 00:00:00.0000000;NULL;11,0200004577637;4,96999979019165;11,1700000762939;940;1014;1168;1319;1391;1462;1540;1643;1751;1891;2363;36,9700012207031;50,2299995422363;322,220001220703;NULL;0;0,829999983310699;NULL;4,19000005722046;5,40999984741211;8,31999969482422;9,14999961853027;71,7699966430664;0;NULL;33;160285;6832658;33;142130;6840583;Y;NULL;Y;Y;Y;NULL;Y;Y;NULL;NULL;Y;NULL;Y;NULL;Y;Y;NULL;NULL
2;15;0;1001;0;Breiddalsvatn ndf.;Aktiv;1917-04-02 12:00:00.0000000;2018-08-11 12:00:00.0000000;1,40727;1944;NULL;2006;ja;NULL;open;62,0050430297852;7,63748979568481;115031;6896625;0,997414171695709;0,395591974258423;0;127,290000915527;32;127,660003662109;127,660003662109;diversion from 2007 on;NULL;2016-08-30 00:00:00.0000000;1944-01-01 00:00:00.0000000;6,59000015258789;26,9500007629395;17,9300003051758;877;925;987;1024;1089;1160;1249;1333;1403;1471;1853;20,9200000762939;23,4599990844727;322,220001220703;NULL;0;0,740000009536743;NULL;6,01999998092651;1,91999995708466;0,879999995231628;11;85,2699966430664;0;NULL;33;107119;6900739;33;95464;6900835;Y;Y;Y;Y;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;Y;NULL
